Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
,38,"Micah Ashman","BAL","MIRP","AA",2028,"40","Low",,"23.9305555","6' 7""","195","L","L",2024,"Draft","DET",150000,"Utah","You're not going to believe this, but in Ashman, the Orioles targeted and acquired another tall pitcher with a high slot and a downhill fastball. Despite pedestrian velocity and good, but hardly exceptional movement traits, Double-A hitters are constantly under his four-seam fastball. We don’t know if he can keep generating whiffs and 70-grade results on contact with it against better opponents, but watching hitter after hitter take bad swings against the fastball, we can’t grade it any lower than this. His success with the slider and change is more explicable, as both have bat-missing late movement. Ashman’s also a strike-thrower with a clean delivery and a pretty good feel for working the fastball up and running his slider on and off the plate (his feel for the change is less advanced). Mid-level relievers don't usually get this FV without high octane stuff, but Ashman’s results — he’s struck out 61 hitters in 36.1 Double-A innings now while allowing only 11 walks — and the way hitters tend to look helpless against him justifies an exception.",,"sa3025559"
,38,"Cooper Kinney","TBR","3B","AAA",2026,"40","Med",,"23.5","6' 1""","200","L","R",2021,"Draft","TBR",2150000,"Baylor HS (TN)","Kinney was a South Carolina commit who signed for just over $2 million and missed what would have been his entire first full season due to a labrum surgery. He hit well in the mid-minors throughout 2023 and 2024 (he hit .289/.352/.494 as a 21-year-old at High-A in another injury-shortened 2024), and then in 2025, his 40-man platform year, Kinney struggled in Montgomery (.242/.299/.386) and went unselected both by the Rays and in the Rule 5 Draft. This year, he got off to a white hot start and was promoted to Durham after a month, though his performance has tanked since. 
There was a point when the strapping young Kinney was a 20-year-old making a roughly average rate of contact and showing roughly average big league raw power and burgeoning physicality. But since leaving High-A, his appetite for breaking ball chase has been more thoroughly exposed, his contact rate has slid below 70%, and his raw power has plateaued. This has happened while Kinney's fit on defense remains murky. He isn't an especially good second or third baseman (he gets more reps at second, but is slightly better at third), though he at least has experience at three infield positions. Kinney's swing is still very pretty and just 18 months ago, his report read like that of a fairly projectable 21-year-old with an average hit/power combo. Now Kinney is someone to monitor for a better eventual understanding of the strike zone, or maybe a late uptick in raw power, so he can play an infield platoon role that will probably need a defensive caddy.",,"sa3017793"
,38,"Jeancer Custodio","PIT","RF","DSL",2032,"40","High",,"17.7083333","6' 1""","215","R","R",2026,"Intl15","PIT",900000,"Dominican Republic","Custodio has huge power, a 70 on the scale when adjusting for his age. He's a physically mature corner outfield power bat with a huge arm and hit tool risk. He has the skill set of a pretty typical high-variance right field profile and signed for $900,000 in January. He has not played in either of Pittsburgh's first couple of DSL games for reasons unknown to the author.",,"sa3075048"
,38,"Cody Boshell","ARI","RF",,2031,"40","High",,"19.1722222","6' 3""","220","L","L",2026,"Draft","ARI",,"Bishop Snyder HS (FL)","Boshell is a very stiff, tightly-wound, power-hitting 1B/RF with dangerous pull power. He's been 93-96 as a pitcher at peak and has the arm for right field, but he might not move well enough to play out there. Boshell's carrying tool is his power. He has plus pull-side raw right now, with short enough levers to time and crush fastballs. He also boasts great vertical plate coverage and oppo ability against pitches up and away from him. Still, he's had limited exposure to good secondary stuff and he's an odd-looking athlete. Boshell does some important things well and might be signable for six figures given Tony Vitello's departure from Tennessee, where he's currently committed.",,
,38,"Ching-Hsien Ko","LAD","RF","A",2030,"40","High",-1,"19.9611111","6' 3""","220","L","L",2024,"Intl15","LAD",650000,"Taiwan","On the surface, Ko crushed the complex in 2025 to the tune of a .367/.487/.539 line. For an 18-year-old, especially one spry enough to occasionally man center field, that’s a good start. But it’s important not to scout the statline here. The Arizona complexes are unlike anywhere else in minor league baseball. Rock-hard infields turn routine grounders into singles. Bad defenders make a meal out of three-hoppers and lose pop flies — along with the occasional high chopper — in the sun. Overwhelmed scorekeepers will sometimes ask a player’s teammate whether they should rule something a hit or an error; there isn't a grain of salt big enough for the ACL. 
This applies to Ko as much as anyone. For a big guy, his swing is often conservative, and he tends to slash and mishit pitches to left when he should be turning on them instead. A lot of his knocks came from dinking and dunking the ball to the opposite field in a way he’s unlikely to replicate against better pitching. Given his lever length, the swing is actually pretty short, but he’s still having trouble getting his barrel to the upper part of the zone. There’s projectable power here, but all of these issues raise questions about how much he'll be able to generate in games. 
That’s not to say that Ko can’t play at all. He's a big, strong kid, he has the makings of a decent approach, and he could be an average defender in a corner. Still, this is more likely a tweener/platoon profile than a future regular.",,"sa3025230"
,38,"Roynier Hernandez","COL","2B","A+",2028,"35+","Low",,"21.6416666","5' 11""","185","L","R",2022,"Intl15","COL",100000,"Venezuela","Of all the interesting infielders Colorado had at the lower levels last year, Hernandez has a case for the best hit tool of the group. He hit .293/.358/.366 with an 85% contact rate as a 20-year-old at Low-A Fresno, good for a 106 wRC+, with strong pitch recognition and bat-to-ball skills. For a guy who hasn't homered in more than 1,000 career plate appearances, he’s not completely punchless either, as his 30% hard-hit rate and 101 mph EV90 attest. But his swing is flat and the path is long in a way that directs a lot of his contact into short left field. Singles hitters have a pretty low ceiling if they're not complete freaks in the Luis Arraez mold, and it’s taking nothing away from Hernandez to take the under on that. 
Defensively, Hernandez is a smooth fielder at second and has dabbled at third as well. If he could play short, he’d grade out as a traditional 40 utility infielder. His arm is light, though, which makes this a tricky skill set to fit onto a roster. His ability to hit and cover a middle infield spot should carry him to the upper levels, where he projects as an up-down guy, with paths for more if he finds a way to get to more power.",,"sa3018495"
,38,"José Castro","MIA","RF","CPX",2031,"35+","High",,"19.7416666","6' 3""","195","R","R",2024,"Intl15","MIA",450000,"Dominican Republic","Castro is a corner outfielder with projectable power. When a guy like this needs a second lap on the Dominican complex, you're hoping he overwhelms the level in his second stint, and Castro did just that in 2025 when he set a DSL record with 16 homers in just 52 games. He has a projectable frame, present bat speed, and a swing geared for pull-side lift. Despite moderately concerning contact data, he's clearly capable of bringing his impact into games, and this may be a case where the hit tool is actually okay, he's just made the contact-for-power tradeoff early in his career. Unfortunately for a player already a little behind the development curve, Castro is missing the entire season recovering from a shoulder injury. The power here is intriguing enough to keep him on the main section, even though he won't see the stateside complex until he's 20.",,"sa3023752"
,38,"Starlyn Nunez","BOS","SS","A",2029,"35+","High",,"20.7972222","6' 0""","155","S","R",2023,"Intl15","BOS",52500,"Dominican Republic","Nunez is a plus athlete with tools on both sides of the ball, but raw feel for the game. Perhaps in a nod to that, the Red Sox are having him repeat Low-A, even though he was a league average hitter there as a 19-year-old in 2025. He’s performing at a similar clip to last year, though his strikeout rate has ballooned from 20.5% to 30.5% amidst what looks like a concerted effort to get him to swing a little less often. 
The reason for that adjustment is pretty clear, as Nunez’s swing data was off the charts in a couple concerning ways last year. He swung at 60% of pitches overall and chased 43% of pitches off the plate. His chase rate surged to nearly two-thirds with two strikes, which is one of the most profound statistical outliers we've encountered this list cycle. Even though his pitch recognition is also lousy (he’s whiffing on 40% of sliders this year, which is actually an improvement), he’s getting away with this approach because he has bat speed and enough bat-to-ball skill on fastballs to get to some power, and he can bend himself in a way that lets him get underneath and drive pitches down in the zone. But while we almost always want to give young players, particularly guys from Latin America, a lot of leeway on their approach and swing decisions early in their career, Nunez’s are too raw to overlook and seem like a real problem. 
Still, Nunez’s defensive ability could get him on a roster even if he winds up being a very flawed hitter. He has a plus arm and a knack for making plays at the edge of his range at short, and the way he’s able to get rid of the ball quickly from a variety of angles and body positions stands out. Some of the nuts and bolts are still a work in progress — he’s a little error-prone, and his throwing accuracy in particular requires refinement — but he looks like he'll grow into being a good defender there. He’s also seeing time in center. On-the-job training at that spot can be a bear, and he’s battling through some of the things newcomers often struggle with — line drives at him are tough reads, he can get alligator arms near the wall — but for the most part, the tape looks promising. Ultimately, Nunez looks like a slow burning utility prospect, perhaps more of a good watch than a great player.",,"sa3021216"
,38,"Gabriel Reyes","DET","SP","A+",2027,"35+","Low",,"23.0722222","6' 1""","180","L","L",2020,"Intl15","DET",25000,"Dominican Republic","Reyes is a loose, low-release-height lefty who returned from Tommy John surgery to throw a ton of strikes down the stretch in 2024. The Tigers were conservative with his 2025 deployment, as Reyes was in Low-A all year, pitched more than five innings in just two starts, and wasn't put on the 40-man roster after the season. Though he's a little behind the developmental curve, we still like Reyes' pitch mix and (especially) his delivery, which is as loose and fluid as any pitcher's in the Tigers system. He has a three-pitch mix with a potentially plus changeup thanks to the quality of his arm action. For now, Reyes' modest arm strength puts his projection into the no. 6/7 starter bucket.",,"sa3016833"
,38,"Josh Trentadue","TEX","MIRP","AA",2027,"35+","Med",,"24.5055555","6' 2""","185","L","L",2023,"Draft","TEX",125000,"College of Southern Idaho","Trentadue was a small-school draftee, and he’s gotten significantly stronger and better since signing. Once a projectable lefty with soft stuff and a low-90s fastball, he was sitting 95-97 in the Spring Breakout Game, and flashes an above-average sweeping slider and change to go with it. His control fell apart following a late-season promotion to Frisco last year, but for the most part he’s thrown strikes as a pro, and has the body control and arm action to think he'll be a viable strike-thrower. 
Trentadue drops his slot from high three-quarters on the fastballs to low three-quarters on the secondaries. It’s not unusual for guys to go a little lower on some offerings and higher on others, but the magnitude and consistency of how he does it looks very predictable in its current form. Perhaps there’s a path to dropping down on everything? The extra carry would surely help the heater play at the top of the zone and it may even help bring Trentadue into the zone more, as he was off target with the four-seamer more than the slider last season. Adding an element of unpredictability would also help, as the offspeed is more good than great. He can add and subtract with the slider, but it doesn't have elite bite, and the change almost always winds up arm side; he could use the extra deception. 
Trentadue worked primarily as a starter last year, though without a ton of length. He projects as a reliever, one who could flex between one-inning and hybrid work. He has the ceiling of a solid middle reliever if he gets his control, well, under control. It will be a real missed opportunity if he doesn't wear the number 32.",,"sa3023010"
,38,"Handelfry Encarnacion","MIL","CF","A",2029,"35+","High",,"19.1361111","5' 11""","172","L","L",2024,"Intl15","MIL",400000,"Dominican Republic","Encarnacion has some hitterish traits. He uses the whole field, keeps his head still, tracks pitches well, and shows a feel for manipulating the barrel. Just 18, his top exit velocities are already nearly big-leave average, and while he’s not especially large or projectable, he is a good athlete who could grow into a little more natural pop. The approach is mature too: He has one of the org’s lowest chase rates and one of the highest swing rates on pitches in the heart of the plate. There’s a little mechanical funk in how he does it — Encarnacion has a big hitch down, which he didn't have as an amateur — but this looks like a viable hitter. Encarnacion is primarily a corner outfielder these days, so we’re projecting more of a tweener than a regular, but that’s still another win for the Latin America scouting group.",,"sa3024124"
,38,"Elaineiker Coronado","TOR","2B","DSL",2031,"35+","High",,"18.8138888","5' 10""","160","L","R",2025,"Intl15","TOR",797500,"Venezuela","Normally, someone like Coronado would get an honorable mention tag but, frankly, he’s too interesting to encapsulate in that brief space. An $797,500 signee in last year’s international class, Coronado is a bat control wizard. He’s quick to the ball with a sweet lofted swing. His head remains still and he tracks pitches extremely well, particularly for his age. Physically, he’s very narrow and will need to get significantly stronger — he had a 6% hard-hit rate and a sub 95 mph EV90, which is as 20 power as it gets — but there’s a hit tool foundation here and he’s in the right place to add mass. That’s a promising start for a middle infield prospect, even for one already playing more second than short. 
But while Coronado is visually intriguing, his data explodes off the sheet. To start with, his 88% contact rate was the third-highest in the system. Some guys who hit the ball that often are just hand-eye freaks who can't really help themselves from swinging at everything, but not Coronado, as his 11% chase rate was second in the system overall. He very rarely takes a cut, but there is a big jump in his swing rate when a pitch is out over the heart of the plate, which indicates at least some level of discernment, too. His 57-to-27 walk-to-strikeout rate looks like something out of the Dead Ball Era, and between that and a .346 batting average, he notched a .504 OBP on the Dominican complex last year. Five-oh-four. 
This is all more fun and interesting than predictive — you need a boulder of salt for complex numbers in general, and none of this is remotely sustainable unless he develops significantly more power — but, well, we're here for fun too. Coronado ultimately projects as a utility infielder, but I'm mighty curious to see how he and his extreme skills look at a more challenging level.",,"sa3067843"
,38,"Tanner Schobel","MIN","SS","AA",2027,"35+","Low",,"25.1472222","5' 9""","170","R","R",2022,"Draft","MIN",1002000,"Virginia Tech","Schobel, a former second-round pick, had seen his offense plateau at Triple-A (.254/.355/.359, 24.1% strikeout rate) until a recent upturn, but he has been tracking toward a utility infielder future for a minute now due to his below-average power. Schobel’s raw contact skill and chase rates are superior to what his strikeout issues would lead you to believe, but his swing is short-levered, rotational, and regularly gets abused by right-handed sliders. The presence of Kaelen Culpepper has more to do with Schobel’s absence from shortstop this year than diminished skill, as despite his size, he touts the raw arm strength and body control to make capable throws across the diamond. That should be enough to make him a glove-first up-down reserve option.",,"sa3020009"
,38,"Truman Pauley","CHW","MIRP","A",2029,"35+","Med",,"22.5861111","6' 0""","200","R","R",2025,"Draft","NYM",400000,"Harvard","Pauley was a draft-eligible sophomore at Harvard who added two ticks to his fastball in 2025 (he's sitting 93 now), but struggled with walks in his first year as a starter. His stuff has interesting characteristics; his fastball averages 19 inches of induced vertical break, and his slider spins at nearly 2,800 rpm. Pauley added a cutter after the draft and committed to its use. He threw it more than any of his other offerings and had strike-throwing success with it in a small post-draft sample. That pitch has tight, late movement in the 88-92 mph range, while Pauley's slider is more 82-85 mph. It looked like he was experimenting with a splitter late, too. Though Pauley lacks any kind of starter-quality strike-throwing track record, his repertoire improved enough after the draft to justify development as a starter in his first full pro season and beyond. Included in the return for Luis Robert Jr. from the Mets, he'll enter the White Sox list as a 35+ FV prospect, more an ""arrow up"" flier who has improved quite a bit in the last 12 months.",,"sa3039559"
,38,"Kamden Edge","KCR","SIRP","A+",2029,"35+","Low",,"21.8444444","6' 1""","195","R","R",2025,"Draft","KCR",150000,"Northern Oklahoma JC","Edge was a 2025 20th-rounder out of an Oklahoma JUCO. He has a loose arm and a low release, and he works in the low-to-mid-90s with a sharp, sweeping slider. He’s a little wild, but there’s a path to two above-average offerings, and it’s worth staying patient with the command. It isn't every day that we put last year’s 20th-rounder on the list, but when a guy has stuff and takes to High-A like a fish to water — nine strikeouts, no walks, one hit allowed in his first 4.2 innings — it’s time to get aggressive. Edge is an interesting arm, particularly for his draft orbit.",,"sa3069069"
,38,"Jorgelys Mota","WSN","3B","A+",2028,"35+","High",,"21.15","6' 3""","185","R","R",2022,"Intl15","WSN",250000,"Dominican Republic","Mota signed for $250,000 in 2022 and had two strong statistical seasons to start his career before his strikeouts began to creep into a problematic area. Mota swings really hard and has been among the org leaders (and minor league leaders, for that matter) in hard-hit rate the last couple of years, with marks just north of 50%. His swing's length is a serious issue, however, and his contact rate has tended to be down around a completely unplayable 60% because he is underneath so many fastballs. 
Mota is a similarly mixed bag of extremes on defense. His range and footwork are sensational, but his hands are only fair and his exchange can take too long. The Nationals have begun deploying Mota in center field some of the time, and he's still getting a feel for it. What's more important is that his contact rate gets to a place of viability. Mota is a freaky enough athlete to carry some prospect value even though he's a low-probability big leaguer because of the strikeouts.",,"sa3019465"
,38,"Niko Mazza","SFG","SIRP","A+",2028,"35+","High",,"24.4361111","5' 11""","210","R","R",2024,"Draft","SFG",202500,"Southern Mississippi","The Giants love their high-slot arms and Mazza is no exception. That and a drop-and-drive delivery give him a carrying fastball that sits in the mid-90s and touches 97. He pairs that with a plus, tight and sweeping slider. Mazza has five pitches, but he’s narrowed his usage significantly in 2026, and is now throwing his fastball and slider about 90% of the time. Of the rest of the mix, the curve in particular seems promising enough to keep around, but his deployment of it may decrease naturally as he slides into shorter stints. He’s been developed as a multi-inning arm thus far in his career, but he has a head whack at finish and an inconsistent release point, both markers of a future reliever. The stuff should be quite good in short stints, though, and the only real concern I have about it is that he’s lowering his slot noticeably on the slider. Concerns about that and his command are enough to round him down into this value tier, though on stuff alone, he has a clear path to a middle relief role.",,"sa3037404"
,38,"Darwing Ozuna","ATH","RF","DSL",2031,"35+","High",,"18.3416666","6' 3""","195","R","R",2025,"Intl15","ATH",850000,"Dominican Republic","Ozuna signed for $850,000 in 2025 as one of the more projectable righty-hitting power bats in the international class. He struggled in his DSL debut, slashing .211/.301/.311 and posting a sub-70% contact rate. But Ozuna's size — he's 6-foot-3 and has room for big strength on his frame — and explosive swing are too exciting to move off of him entirely after a bad debut. He will repeat the DSL in 2026 and needs to improve as a contact bat to remain on the list.",,"sa3068179"
,38,"Adolfo Sanchez","CIN","RF","CPX",2030,"35+","High",,"19.8555555","6' 3""","200","L","L",2024,"Intl15","CIN",2700000,"Dominican Republic","Sanchez was one of the top prospects in the 2024 international class and signed with Cincinnati for $2.7 million. I had him graded above what is typical for a corner-only defender in that market because he had a very exciting combination of present power and power projection, and my sources were rather confident in his contact hitting ability, but Sanchez struggled in his first pro season. He slashed .216/.356/.345 and struck out 33.9% of the time in the DSL, which is an enormous red flag. His second stint there was much better, as Sanchez slashed .339/.474/.504 and cut his strikeout rate to 13.6% in 2025, though his build is rapidly maturing to the point where he is likely approaching his raw power ceiling more quickly than most hitters his age. He improved enough in 2025 to justify inclusion on the main section of the list, but it's important for him to continue to hit well when he gets to the domestic complex level in 2026.",,"sa3023709"
,38,"Felipe De La Cruz","NYM","SIRP","AA",2026,"35+","Med",,"25.1694444","6' 0""","175","L","L",2021,"Intl15","NYM",10000,"Dominican Republic","De La Cruz was sitting in the mid-90s as a starter in 2023 and 2024 and moved into the bullpen in the middle of 2025, as he bounced back and forth between Double- and Triple-A. Though he had a window last year when he was touching 98-99, his velocity was in the 94-95 mph range for most of last year, including during his Winter League stint in the Dominican Republic. De La Cruz's slider improved throughout 2024 and has become his most-used pitch. It's generating plus miss and chase even though De La Cruz is, sometimes predictably, using it to get strike one a lot of the time. He should break into the bigs as an up/down lefty, and then will need to sharpen his command to hold down a more consistent middle inning role.",,"sa3016065"
,38,"Ryne Barker","ATL","3B",,2031,"35+","Med",,"19.6333333","6' 1""","175","L","R",2026,"Draft","ATL",697500,"Casteel HS (AZ)","Barker has some feel to hit and a projectable 6-foot-1 frame, but he's one of the older high school players in the class, so it's less of a given that he's going to fill out. He could be in the mix for a deal in the upper six figures.",,
,38,"Blake Aita","STL","SP","AA",2028,"35+","Med",,"23.1277777","6' 4""","215","R","R",2024,"Draft","BOS",300000,"Kennesaw State","Aita put together 115.1 innings of yeoman's work across both of Boston’s A-ball affiliates before being swapped for Willson Contreras alongside Hunter Dobbins and Yhoiker Fajardo. Right now, he looks like the third piece. For as much as he and Fajardo both lack in fastball whiffs, Aita hasn’t yet developed a signature offering as defined as his counterpart’s slider, even if the delivery he’s thrown strikes from (6.5% walk rate) looks more the part of a future starter. A natural supinator who can spin a breaking ball over 3,000 rpm and locate it well enough to expect above-average results, Aita has to use it and a bridging cutter a lot to avoid a four-seamer with generic shape and velocity, and has nascent feel for his changeup. Aita looks like a depth starter at his current level of bat-missing (21.4% strikeout rate last year), but he has the command and raw spin to hope for a little more.",,"sa3025822"
,38,"Will Hynes","CLE","SP","A",2031,"35+","High",,"19.0555555","6' 2""","180","R","R",2025,"Draft","CLE",950000,"Lorne Park SS (ON)","Hynes is a loose, athletic, undersized Canadian righty whose fastball sat in the upper 80s in 2024, then was 93-94 mph at the 2025 Draft Combine. It took just shy of a million bucks to coax him away from his Wake Forest commitment, and he didn't pitch at an affiliate after the draft. This is a smaller pitching prospect who has a beautiful delivery, the kind that might be mechanically efficient enough for him to carry a starter's load of innings despite his size. Hynes generates lovely hip/shoulder separation and has a great-looking arm action. His hand position on release appeared more vertical at the Combine than it did the prior summer, and his breaking ball depth looked better, too. These are exciting characteristics, but Hynes is small enough that we want him to show that he can sustain average pro velo and throw strikes over at least a few dozen innings before stuffing him in the 40+ FV tier or above. He's an early-career athletic dev project.",,"sa3069263"
,39,"Juaron Watts-Brown","BAL","MIRP","AA",2026,"40","High",,"24.4277777","6' 3""","190","R","R",2023,"Draft","TOR",1000000,"Oklahoma State","Watts-Brown’s strike-throwing took a big step forward last year, when he trimmed his walk percentage nearly in half and rode that newfound control into a breakout season. Across three levels, he notched a 3.62 ERA while striking out 11.44 per nine, a performance that prompted the Orioles to acquire him in exchange for Seranthony Domínguez.  
Watts-Brown sits 92-95 and touches 97. He’s able to generate nearly 20 inches of vertical break, but neither his slot nor his motion aid the pitch’s deception, and it doesn't miss a whole lot of bats. His feel for spin gives him a shot at two above-average breaking balls, though he doesn't have them yet. While both his slider and curve generated 38% or better CSW rates last year, his execution is inconsistent. He doesn't always finish the pitch and both can be cement mixers if he hangs them, as he did a couple times in his first Double-A start this season. His change has also progressed year over year, and the sink on it allows him to throw it to both lefties and righties. 
What role does this portend? He has the look of a no. 4/5, with enough arsenal depth to face lefties and righties, but without the fastball or arm strength to project toward the top of the rotation. In this era, these guys are starting to get funneled into hybrid or multi-inning roles. Regardless of how he’s used, he’s tracking like a low C1 or high 40-FV type of prospect.",,"sa3023352"
,39,"Émilien Pitre","TBR","2B","AA",2027,"40","Low",,"23.8138888","5' 11""","185","L","R",2024,"Draft","TBR",1520000,"Kentucky","Raised in a French-speaking suburb of Montreal, Pitre rode the bench as a freshman then hit well for two years at Kentucky, with more walks than strikeouts in both seasons and a .301/.420/.519 line as a junior. Like most of college baseball, Pitre enjoyed a huge power uptick in 2024, hitting 10 of his 11 career homers. He became the fourth-highest drafted Quebecer when the Rays took him in the second round in 2024 (Phillippe Aumont, drafted 11th overall in 2007, is the highest). He had just a fair first full season at Bowling Green in 2025 and was sent back there to start 2026, then was promoted to Montgomery after his strikeout rate was half (10.4%) what is was last year through his first 50 games. 
A contact-oriented second baseman with a compact stroke, Pitre has some pull power on the inner third of the plate but otherwise tends to work the opposite field. He tracks pitches well and gently guides the barrel around the zone, willing to take what's given a lot of the time. Gauging whether Pitre's feel for contact has actually improved, or if his 2026 output at Bowling Green was the result of him simply repeating the level, is going to take some time as he generates data at Montgomery. Limited on defense to just second base, Pitre will either make enough contact to be an everyday option there or he won't, and if he doesn't, he has no utility role fallback unless he starts playing other positions.",,"sa3025391"
,39,"Chung-Hsiang Huang","ARI","SP","A",2028,"40","Med",,"20.7527777","6' 0""","175","R","R",2024,"Intl15","ARI",210000,"Taiwan","A native of Taiwan, Huang signed for $210,000 prior to the 2025 season. From a pitchability perspective, he was as advanced as anyone you’ll find on the complex. With a well-honed motion, Huang absolutely peppered the zone with three pitches, showing touch and feel to complement plus control. The stuff is less eye-catching. He'll touch 95 but sits in the low 90s, and his secondaries project average. The underlying foundation means things could get pretty interesting if he finds a little more velo. I'm not projecting it, though, and see Huang as more of a low-leverage arm.",,"sa3067525"
,39,"Luis Carias","LAD","SIRP","A",2028,"40","High",-1,"21.825","6' 4""","170","R","R",2023,"Intl15","LAD",10000,"Venezuela","Carias shares a few similarities with Marlon Nieves. Both signed without any fanfare as old-for-their-class pitchers prior to the 2023 season, and they've been promoted at a similar pace since, each reaching Low-A Rancho by the end of last season. An inch taller than Nieves and just as thin, Carias is also a good athlete with a clean arm stroke. They're both mostly arm speed and projection at this point; both sit in the mid-90s and can bump 98 when they reach back for something extra. Physical development looms large for the pair, as neither has great fastball shape, and both will need to get stronger to maintain their present velocity in longer stretches. 
Where they diverge is in the quality of their respective secondaries. Carias' slider is arguably more consistent, but his best ones don't reach the same heights as his teammate's, and his change is even more unrefined. It’s projectable and the arm speed is fine, but there’s not much action or consistency of execution yet. You can squint and see a no. 4 starter, but the gap between present and potential is large, and the lack of an obvious out pitch tilts Carias' projection toward the back of the rotation.",,"sa3021006"
,39,"Michael Prosecky","COL","SP","AA",2027,"35+","High",,"25.4083333","6' 3""","200","L","L",2022,"Draft","COL",300000,"Louisville","Prosecky is a fun watch. He’s a high-slot guy with a Bugs Bunny sinking change and a slow curve that practically takes a nap on its way to the plate. Arm strength is an ongoing concern here, as he touched 95 at times but was sitting in the upper 80s by the end of last season. His fastball doesn't have bat-missing shape, but he does hide the ball well, so it’s a viable weapon if he can just keep it in the 90s. While his command isn’t bad, it isn't sharp either, and the result is a lot of nibbling and more fastballs leaking over the heart of the plate than he can afford. It’s the skill set of a crafty lefty who isn't quite crafty enough to start. He projects as a spot starter or swingman, roles Prosecky will likely be ready for by 2027.",,"sa3020526"
,39,"Victor Ortega","MIA","C","A",2027,"35+","Med",,"22.5222222","5' 8""","200","L","R",2022,"Intl15","MIA",10000,"Mexico","Ortega is an undersized catcher with great feel for contact and the strike zone. He’s posting a walk-fueled 143 wRC+ in his second spin through Low-A — he has 22 walks and 14 strikeouts in 131 plate appearances so far — with plus contact and in zone contact rates. Defensively, sub-2.00 pops to second are the norm, thanks more to a quick release than a strong arm. It’s always tricky to assess over video, but it seems like he’s got pretty good instincts back there. For just one small example, there was a recent game in which he saw the runner on second get a great jump on a double steal, and instead of throwing to third, he successfully went after the trail runner instead. 
A lack of pop means that there’s not much wiggle room for Ortega to profile if the hit tool runs out of steam against better pitching. Provided that he’s able to keep making (relatively) hard contact, he has the bat-to-ball and catch-and-throw skills to project as a good club’s third catcher.",,"sa3018439"
,39,"Wilton Guerrero Jr.","PIT","SS","DSL",2032,"35+","High",,"17.1611111","5' 10""","165","R","R",2026,"Intl15","PIT",1950000,"Dominican Republic","The latest in a long line of baseballing Guerreros, young Wilton is a speedy, slick-fielding shortstop whose lack of size (he's tiny) and projected offense likely cap his ceiling in the utility infield realm. He signed for a little shy of $2 million in January and just began his pro career in the DSL.",,"sa3075055"
,39,"Conrad Cason","BOS","SP","CPX",2029,"35+","High",,"19.9722222","6' 1""","220","R","R",2024,"Draft","BOS",1250000,"Greater Atlanta Christian HS (GA)","Cason was drafted as a two-way player in 2024 and has played all of seven games since. A plus athlete, he’s a more intriguing prospect on the mound, where he has flashed upper-90s heat and a projectable change. The two innings and five strikeouts he registered last May are all that he'll have on the page until 2027, though, as he blew out last summer and will spend this year recovering from Tommy John surgery. Eric saw him at the Combine prior to the draft and had him evaluated as a pitcher only, but due to the injury, he'll spend 2026 hitting. For those inclined to dream, he has homered twice on the complex so far, but visual evaluation of his feel to hit does not support long term development on that side of the ball.",,"sa3067316"
,39,"Drew Sommers","DET","SIRP","MLB",2026,"35+","Low",,"25.9527777","6' 3""","250","L","L",2022,"Draft","TB",150000,"Central Arizona College","Sommers is huge but deceptively athletic. He has good body control and generates plus extension out of a low-three-quarters slot, which also helps his average fastball velo play above the number. While he’ll mix in a four-seamer upstairs, the sinker is his bread and butter, and he’s good at keeping it down. The change and especially the slider played well against minor league hitters, but we're a little skeptical either is more than an average pitch. The slider in particular looks vulnerable unless it’s down and away, where he'll get some chase but probably not as much against big leaguers. He debuted last season and projects to contribute as a third-lefty type, and will likely bounce between Triple-A and the majors during his pre-arb years.",,"32026"
,39,"Keith Jones II","TEX","RF","AA",2027,"35+","Med",,"24.2444444","6' 1""","220","L","L",2024,"Draft","TEX",30000,"New Mexico State","Jones was a small-dollar senior sign out of New Mexico State who played his way to Double-A in his first full season. It’s not often that we get to call a 6-foot-1, thickly built corner outfielder with below-average wheels ""scrappy,"" but Jones fits the bill, as he’s a grinder who gets himself on base more often than he should simply by running out the lost causes. He’s also got legitimate pop, above average now, and even though he’s not especially projectable, he’s young enough to get the extra tick or two on his max EVs (112.5 mph last year) to round up to plus. 
Jones swings hard, but his path is long and his bat speed is just average. Still, there's some hit skill here, as he can flatten the bat on pitches up and he sees spin well. He actually swings and misses at fastballs more than spin, which is unusual and may explain why he didn't post much of a platoon split last year. That fastball miss is a bit concerning, though, given the bat speed and how much more velo is coming at the highest level. In some ways, it'd be easier to see a clean roster fit if he had a clear use case as a masher against righties. But while there’s a risk that Jones is just a Quad-A bat, his power, quick ascension, and motor has me rounding up a tick. There’s no defensive value here — his lack of speed shows up much more on defense — but Jones still projects as a last man type, a danger bat off the bench and a guy who could compete for a roster spot in 2027.",,"sa3025629"
